# Constructed from biom file
#OTU ID	AGOS38P1B7	AGOS42P6B7	AGOS44P4B7	AGOS46P1B7	AGOS48P4B7	AGOS50P1B7	AGOS53P1B7	AGOS54P5B7	AGOS56P1B7	AGOS57P4B7	AGOS58P6B7	AGOS60P3B7	CONS37P4B7	CONS39P1B7	CONS41P1B7	CONS43P5B7	CONS45P2B7	CONS47P6B7	CONS49P6B7	CONS51P3B7	CONS52P4B7	CONS55P5B7	CONS59P1B7	CONS61P4B7	CONS62P1B7
FOLSYN-PWY	6028.027992532341	9291.496777956547	5714.006876979019	9522.710428405504	7924.860715048557	5768.425730787135	7157.349841061545	11903.016762999654	8423.471125800941	6600.798399873504	7436.126757916412	9121.654399464356	5502.055856892964	7116.6774535100885	9386.939518887042	7345.298855649032	6389.900757442649	11964.245652427271	9617.616353088213	5663.181305522948	6310.86361139947	8478.402971597116	9077.527924783284	14166.219048822906	7524.541696645936
FUC-RHAMCAT-PWY	1465.669521681827	2340.4257651171515	1371.4039679406774	2179.4979632522145	1835.0467171024625	1509.0941356701392	1990.292326636075	2829.2145413843296	2529.8110110592115	1847.8960440056367	1908.653711754547	2259.860482603638	1600.4414115850288	1880.73754763112	2240.885331677366	1746.7884766372736	1642.06543029036	3074.95648591701	2325.489935913625	1484.1753855572101	1769.1640774371376	2094.2431278628655	2433.01462272483	3509.1169625661787	1878.771919387351
FUCCAT-PWY	1609.3627389690314	2485.5823341718615	1528.8562902971207	2882.548847008626	2054.7109817148016	2021.6804836110014	2436.3935719149495	5190.259666589095	3686.62371662147	2036.51417812143	2355.653466420033	2560.486734449851	1856.8211799585165	2228.518802480711	2993.766116523641	1676.740213732471	1646.8438674999934	3385.5048873921114	2774.587547673963	1544.5246843610614	2172.4433543164614	2342.03513255272	4172.738892021433	6289.040417168865	2015.4939260922336
GALACT-GLUCUROCAT-PWY	2856.1860853394223	4586.221209635501	3411.492111213257	6082.606465456541	4259.290860280576	2385.7755698172764	3290.390006156433	5772.211275369426	3410.751977324342	4236.860582833845	4868.392174227014	5641.84294163966	2692.759410157648	4787.74384555112	6430.091399140463	4528.277475086029	3136.1153514580315	5924.313252993846	5215.0626898948	3612.7455652042067	3559.778222582846	4241.977051036427	4922.195592749475	5356.455168349259	5065.130537825994
GALACTARDEG-PWY	199.34272037263088	413.6097785898171	183.9260382907799	233.3078716927587	218.05847078022373	276.186995430865	171.8981974943329	172.11323006037605	246.17240870488365	220.38963117770984	214.5229223957673	266.0947551381111	274.1611386552239	274.78410313050045	335.97784901719757	201.52495286756246	274.06592822947334	579.9606322527663	234.2803996663691	136.86885626194166	130.11492209816467	250.90499627368587	196.74343063759378	509.343034106512	230.52336186929816
GALACTUROCAT-PWY	3693.197101928731	5618.965152155732	3944.279938125737	6841.406639601118	5502.195061178671	2925.953962468634	3704.3911580280287	6431.082133712498	3931.326105088466	5387.6093487916405	6007.779486270233	6787.312918202807	3670.862563968394	5709.475008143046	7880.761371073976	5151.266829255805	3821.139652306138	7515.9662429815135	6320.8065743010875	4226.373915822685	3945.3718759200447	4931.142628867347	6105.190595275113	8490.703973864209	6054.499942309924
GALLATE-DEGRADATION-I-PWY	0.06528405415656265	0.15202183098901265	0.025205278331969314	0.09051241791065244	0.7082796332995818	0.006625024558676122	0.03923763050987985	0.054684427252650526	0.029836617803950635	0.03492237013196694	0.06015362539864801	0.06901243521942271	0.048070389381466946	0.2625994201926173	0.14906383707681942	0.19724105212994492	0.030700446022888444	0.09269636218581975	0.11529580414528444	0.06253995977717018	0.0188343741945581	0.03368286857982723	0.02064363810205559	0.03668511357462489	0.11619397039972881
GALLATE-DEGRADATION-II-PWY	0.06528405415656265	0.15202183098901265	0.025205278331969314	0.09051241791065244	0.7082796332995818	0.006625024558676122	0.03923763050987985	0.054684427252650526	0.029836617803950635	0.03492237013196694	0.06015362539864801	0.06901243521942271	0.048070389381466946	0.2625994201926173	0.14906383707681942	0.19724105212994492	0.030700446022888444	0.09269636218581975	0.11529580414528444	0.06253995977717018	0.0188343741945581	0.03368286857982723	0.02064363810205559	0.03668511357462489	0.11619397039972881
GLCMANNANAUT-PWY	4205.393654548741	6599.722863340953	3615.9414965951864	4950.55333700783	5976.4270932084155	4549.3391174384915	5529.893984171276	8513.103284183455	9400.629045701819	4211.6060894156035	4008.0211422829834	5360.292935121444	4174.604466365365	4120.610269946775	6122.042569711405	4234.294529177388	4139.990106733941	8200.935498860907	6143.867318220181	3949.2980036189683	4476.0936218854495	5673.7367866305685	6880.853937337011	10586.999882766258	4681.447547782471
GLUCARDEG-PWY	332.7522287506158	641.0689316337657	292.94825442101995	425.54787063705714	520.6702380934577	388.7331834044064	224.0831118048646	237.0743204230401	324.2042485443547	360.03100764482167	453.9301318988274	477.552036627185	856.7193988999311	672.4955229282466	507.2288047625434	396.8556528570626	412.7621715569055	728.7873484281233	328.94842769458165	193.23297959177836	189.96714258691674	351.3677646061918	310.2412519715718	1912.1274880867697	316.36196636870244
GLUCARGALACTSUPER-PWY	199.34272037263088	413.6097785898171	183.9260382907799	233.3078716927587	218.05847078022373	276.186995430865	171.8981974943329	172.11323006037605	246.17240870488365	220.38963117770984	214.5229223957673	266.0947551381111	274.1611386552239	274.78410313050045	335.97784901719757	201.52495286756246	274.06592822947334	579.9606322527663	234.2803996663691	136.86885626194166	130.11492209816467	250.90499627368587	196.74343063759378	509.343034106512	230.52336186929816
GLUCONEO-PWY	7070.739353351468	9647.915715125913	5951.585565196926	10230.124197503914	8569.28402343966	5625.722168647046	7671.943220728806	9864.223833414733	7296.05656893265	7571.5526253757325	8225.805775169873	10049.67710595096	6746.1584655062325	7990.970661998991	10165.710263138544	7701.309282949576	7004.945523184985	12563.896616856695	9879.130501274794	6128.925601081717	6591.6803230692385	8526.869992177495	8443.562768273428	16450.05120758404	8251.32662609749
GLUCOSE1PMETAB-PWY	197.59108657752088	354.51452950563817	204.6164541862401	430.95459904837844	220.89661135634933	542.07181848127	260.4941994421364	220.2949959136442	259.35271950662553	190.38980384477358	380.82468092485004	323.4445434189989	790.1765330731486	335.8679199832466	389.32123029454715	298.51607211482286	391.60647165203443	616.8671575666061	408.9427269325567	156.42614250043593	120.13043411846282	219.52604267672874	237.14648451808753	3782.6091870349933	409.1768254598502
GLUCUROCAT-PWY	3437.1619827570516	5970.143615233327	4567.263963948942	7484.364370592592	5040.17791603707	2863.02060911967	3661.3152657674927	8235.358297762805	4144.1679135006925	4902.54799866347	5991.253935153328	6712.769850287101	3270.5229773186434	5819.074026605785	7658.215970431081	5820.891574867071	3452.0287057053997	7195.782022543782	6469.72317170848	4719.825732694235	4921.075304340102	5499.855415824389	6283.227886076596	6980.769944798216	5844.773705352992
GLUTORN-PWY	6158.386691215363	9344.107853753865	6285.105345451718	10100.426111079401	7347.245902820993	4510.607717416516	7035.844955133209	10451.148935179708	6679.641947584155	7130.915484125096	7955.162718587548	9018.776707226169	6324.502984807934	7720.181604302897	10633.285990331462	7867.250016052021	6335.236439841439	11516.379721695363	9467.71189930502	6370.850449115138	7101.0176141897455	8099.388332428121	8707.18889057568	14368.350798141448	7946.084454927339
