# Constructed from biom file
#OTU ID	AGOS38P1A0	AGOS42P6A0	AGOS44P4A0	AGOS46P1A0	AGOS48P4A0	AGOS56P1A0	AGOS57P4A0	AGOS58P6A0	AGOS60P3A0	CONS37P4A0	CONS39P1A0	CONS41P1A0	CONS43P5A0	CONS45P2A0	CONS47P6A0	CONS49P6A0	CONS51P3A0	CONS52P4A0	CONS55P5A0	CONS59P1A0	CONS61P4A0	CONS62P1A0
DTDPRHAMSYN-PWY	7847.081952019006	17963.016576529535	16025.167528355816	22627.63808640401	14092.832487727992	9142.72775673631	9633.51299141982	13236.937615666116	13819.752564852288	12961.125521999144	11587.088741591413	11149.012950358036	8416.335933283406	9450.785082197226	17986.567583957145	9327.599281981038	8699.681140612878	10161.407254331989	8839.718932254977	6626.166133309548	12096.668740000578	18247.53418263022
ECASYN-PWY	22.497363091162978	237.313003154763	33.41375848456344	66.53350137477109	54.02948184559913	273.6379046075284	17.95877434545225	209.42929121450823	33.394832032879606	85.82538928335677	79.06011348052638	37.012243929600025	21.3653149071311	61.03830928384882	75.35248635940496	76.33770184832785	24.271770352519926	20.25271581462507	58.37066467475298	41.936777249847175	22.72556769151372	5.242581408203416
ENTBACSYN-PWY	87.76641685382428	641.692554522828	118.154459399192	241.42099856932455	169.73841871590258	725.6789143074208	104.43593466032145	599.5951090745695	203.51168668605817	269.93993799442416	250.88143356242549	266.429259060979	76.38637317165967	189.76236410228606	243.5845242369307	271.4363184275157	91.74261713687221	99.15214434099175	155.18929182411196	130.40012132759563	111.39470049072199	25.731722448066453
FAO-PWY	944.0848994118719	1013.1008567798305	765.1687066442823	1832.8560786904582	794.0489278627507	1631.4262084704335	878.9218106506925	1083.7400856434426	714.092817667378	1291.9593737835612	691.314177257724	695.4405162809487	519.8120125751883	697.1343748362813	1060.9108847904604	1047.7799847054903	674.6161477299859	915.8847403765186	519.0841703434838	802.9941328035518	2444.0062364983182	980.1621000329733
FASYN-ELONG-PWY	4114.380313082056	13499.85530090276	10163.028748201235	14507.501378854704	10004.21453422767	5011.12535062594	4265.096603984397	10017.503992298994	9728.385085638949	7144.307073446452	8341.177013781708	6762.785584020329	5016.231925440346	5017.674412581771	13902.800710867517	6016.39522588533	5073.334800867836	6703.083054382126	5167.056746515521	4053.6246247383942	13457.501488255102	9641.995227038475
FASYN-INITIAL-PWY	2684.6610692673294	10163.227738392226	7623.58693861107	10797.645363561218	7601.30212194361	2914.7809436036187	2519.9151122951203	7710.297768669853	7367.063202128728	5254.242001532153	6283.899842615337	5037.282780081728	3800.1134592470626	3710.635181831259	10725.611788119439	4497.741568392925	3791.464706150679	5064.650314694109	3827.5789057881884	2521.9114066990755	3813.2877858015336	7047.108756744116
FERMENTATION-PWY	4876.842321492882	10940.029039691943	10238.963905772025	16058.973841978383	9149.644316335263	5859.799361345991	6352.579316740927	8739.329376570655	9034.76454667541	7491.086412738236	6462.228854511011	7330.406910903534	5465.130204058455	5961.518769368049	11808.665244530093	6433.703044695847	5749.040700247501	7907.1190151278515	5868.726531933889	5094.596123118023	9646.305028326738	10588.450541826898
FOLSYN-PWY	6634.010509434882	13539.14772893994	10066.10494067771	19608.12318694715	11084.671273605323	9981.121739389131	5526.358288631816	10817.821413489568	9238.881934431542	9392.967523985231	8352.668094431692	9272.83147835206	5363.2756365844325	6878.481360438358	16656.332434073018	7380.685967112858	5994.871081373196	8279.074824223546	7473.343563175476	6498.801796050768	9757.419823234395	12332.468679925518
FUC-RHAMCAT-PWY	1681.4877965073642	3668.9619372265115	2649.727392439136	5539.553293290124	2654.5645473211316	2983.7292799747556	1619.6868492757437	2699.3660817151585	2476.542466515819	2530.8841712297085	2046.2154873507277	2463.250549840877	1455.4185127747228	1910.3446348695456	4159.403781749017	1978.9843684208645	1684.5094359830769	2353.0183661117594	2013.0201130945275	1699.3840231380143	2710.066697587015	3407.204472793348
FUCCAT-PWY	2017.4071692443736	3866.647591150755	2792.673887350943	8152.856563464914	3551.2678078603	3983.7147080028	1609.2843380688914	3542.253559822787	3034.6578449249923	2504.219814320281	2978.0024415146645	3662.7636300433587	1363.5414465098145	2048.5590396592734	6517.847748243121	2425.535970693687	1931.8518862229068	3546.295520604212	3024.728814334913	2580.961546298499	5084.874658344034	4145.94775026748
GALACT-GLUCUROCAT-PWY	3247.9522527327913	8290.39299262188	5901.059462120866	10530.076421286703	5162.8747531435	4309.75452978511	3378.479857912358	5073.9610923303035	5501.6824608991055	5456.260716922452	4657.711626411988	4639.456444091042	2982.1918141688025	3496.661987523749	7340.500282477675	3602.050252971233	3630.904128385892	3997.4178879350034	3811.3849128360484	3234.159051549512	3785.099529435918	7673.412534656427
GALACTARDEG-PWY	338.0690449294118	464.7964047021213	263.86141610078874	603.0568864739071	264.2431606464283	673.621724313205	183.46872365242987	628.5400716464824	271.15401291827044	439.9299236769287	260.90258408402616	256.87693368881247	204.4552092809278	257.01839434803594	492.50228627642366	332.7200813725663	230.5907725707993	184.33475999995682	208.16037993308632	225.00976813589796	259.836983132361	332.83162596365224
GALACTUROCAT-PWY	4334.594306304774	10708.292741451609	6918.8773871804615	11862.917894181197	6077.514416019799	5747.370846471607	4190.254559352617	6847.7869297146635	6471.406722862449	6925.800835056267	5523.365385939394	5636.894187094185	3821.839746787381	4575.371158030958	9913.229875018387	4496.647408000678	4538.050010674462	4615.968232078123	4682.887361016581	3578.0683199534587	5837.382716044038	8505.032046505969
GALLATE-DEGRADATION-I-PWY	0.191261988061866	0.06258234540260231	0.05591680462340798	0.19454469586631454	0.7569395540662059	0.06310178528657974	0.7492228123687233	0.0725815012855487	0.11127959304278445	0.0619683707056729	0.07620229219228818	0.024441115900301055	0.17110579984127633	0.03924409160947021	0.10864604661646451	0.05966608006391705	0.05014896955896195	0.053962961973472806	0.05472259715404772	0.13047555470219938	0.04136922907803183	0.050178496239213805
GALLATE-DEGRADATION-II-PWY	0.191261988061866	0.06258234540260231	0.05591680462340798	0.18887436560797244	0.7569395540662059	0.06310178528657974	0.7492228123687233	0.0725815012855487	0.11127959304278445	0.0619683707056729	0.07620229219228818	0.024441115900301055	0.17110579984127633	0.03924409160947021	0.10864604661646451	0.05966608006391705	0.05014896955896195	0.053962961973472806	0.05472259715404772	0.13047555470219938	0.04136922907803183	0.050178496239213805
